"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","62","Check Vehicle passengers capacity is 30","tests","2026-09-23","passed","2026-09-23","","test_vehicle","",""
"","1","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","0","Check Species list not empty","tests","2026-09-23","passed","2026-09-23","","test_species","",""
"","24","Check Vehicle class","tests","2026-09-23","passed","2026-09-23","","test_vehicle","",""
"","39","Check Person name  and birth year","tests","2026-09-23","passed","2026-09-23","","test_persons","",""
"","1","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","0","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","0","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","1","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","35","Get Movie by ID","tests","2026-09-23","failed","2026-09-23","","test_movies","",""
"","93","Check movie names","tests","2026-09-23","passed","2026-09-23","","test_movies","",""
"","67","Check movie names","tests","2026-09-23","passed","2026-09-23","","test_movies","",""
"","53","Check specie language to be 'Quermian'","tests","2026-09-23","passed","2026-09-23","","test_species","",""
"","77","Check Vehicle model","tests","2026-09-23","passed","2026-09-23","","test_vehicle","",""
"","0","Check Starship list not empty","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","38","Check Person name  and birth year","tests","2026-09-23","passed","2026-09-23","","test_persons","",""
"","1","Get All Movies","tests","2026-09-23","passed","2026-09-23","","test_movies","",""
"","1","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","39","Check Person name  and birth year","tests","2026-09-23","passed","2026-09-23","","test_persons","",""
"","38","Check Person name  and birth year","tests","2026-09-23","passed","2026-09-23","","test_persons","",""
"","0","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","1","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","failed","2026-09-23","","test_starships","",""
"","0","Check Person list not empty","tests","2026-09-23","passed","2026-09-23","","test_persons","",""
"","0","Check starship with single crew member and 0 passengers quantity more than n","tests","2026-09-23","passed","2026-09-23","","test_starships","",""
"","35","Check movie names","tests","2026-09-23","failed","2026-09-23","","test_movies","",""
"","38","Check Person name  and birth year","tests","2026-09-23","passed","2026-09-23","","test_persons","",""
"","37","Check Person name  and birth year","tests","2026-09-23","failed","2026-09-23","","test_persons","",""
"","1","Check Vehicle list not empty","tests","2026-09-23","passed","2026-09-23","","test_vehicle","",""
"","104","Check movie names","tests","2026-09-23","passed","2026-09-23","","test_movies","",""
